stemmed,label
lagi laper install gojek malah lokasi ngebug gak masuk masuk lagi aneh pindah grab aja padahal sinyal bagus,positif
sangat bantu senang,positif
kalo gerimis saja tukang ojeg nya malas sebal,netral
tolong lapor tindak lanjut adminsaya sudah lapor keras peras dirver nya tapi gak tanggapisaya terimauang hilang pukul oleh driver gojektolong sangat amat tolong tindak lanjutiterimakasih,positif
top markotop,positif
fitur promonya baik,positif
hemat,netral
dapet drivernya laman jauhjauh pula padahal pakai gocar prioritas,netral
ok,netral
mkin kesini makin g jls apknya sblm order gofood harga total k eh pas uda order dn dapat driver malah k,netral
usaha maling uang gua hari balik balik padahal transaksi batal bukan isi saldo atau transfer anjiing lo hari balik balik saldo gua binatang,netral
kenapa go tix dihapuslebih baik mitra findana daripada mabmakanya banyak yg ngeluh,positif
bagus mantap,positif
banyak resto tutup hapus mau batalin pesan susah cs ada respon terlalu banyak kendala susah,netral
driver nya udah kaya raya gamau ambil tumpang kalau hujan,netral
mantap,positif
bagus,positif
h effect vcan ddk gt eng h,netral
bgus bnget gojek inimau mana pun mana pun selalu nyamanayooo banyakin lgi promo nya biar mkin seruu,netral
rekomended,netral
sangan bagus manbantu,positif
pelit banget promonya ada,netral
banyak driver sekitar tapi susah dapetnya aneh,netral
ok,netral
ada masalah driver bilang sdh kirim barang tapi barang tunggu terima datang menu chat cs mati tdk tahu mau ngadu siapa chat driver balas,positif
nice,netral
diskon banyaaakk terimakasih gojeekk,positif
tolong baik diskon,positif
coba si gojek kasih oderan dri pagi ni amsa biji mau makn apa anak bini q makan batu gt gotak napa aplikatorr,netral
g bisa pake promo gofood,netral
mantul,netral
best,netral
kak mau tanya dulu pakai gopaylater aman aja walaupun telat hampir bulan gilir gopaylater baruh sempet telat minggu sudah bayar kenapa bisa guna alias blokir kak,negatif
puas,positif
parah banget si kalo ujan go ride gak bisa sen sama sekali,negatif
ok ngebantu banget,positif
mantab,netral
lumayan cepat loadingnya utk aplikasi,positif
tolong aplikasi sedia fitur blokir agar kecewa dua kali mes resto betul sangat kecewa,negatif
good job,netral
jemput pilih rute,netral
banyak bicara,netral
gak ada selesai ketika ada keliru dalam mesan auto delete gojek,netral
excelent,netral
ok,netral
on timefriendly driver and feel save,netral
mantul,netral
nih apa iya bisa tarik nominal,netral
buka menu top up selalu ngeleg pdhal sinyal ssngat bagus tapi knp susah dibukatolong baik,positif
driver ok aplikasi okmantapdah,positif
mantap,positif
good,netral
aplikasi terbaikkk gofoooddd diskon nyaa gede bgttt,positif
limit gopay latter bisa guna,netral
iklan mulu,netral
moga lebih banyak lagi diskon,netral
biaya applikasi sekali jalan nya terlalu mahal buat sy,netral
mantap men,positif
mantull,netral
kenapa malah makin lot yahh,netral
pew jemput driver ramah bangt,netral
ko telah baru gotix nya ada lgi,netral
gotixnya ada,netral
ok ok,netral
sorry tapi waktu dapat driver cukup lama,netral
good job,netral
bagus,positif
sangat manfaat,netral
trauma pakai aplikasi barang tinggal orang chat blz tlp bisa trauma memang barang benilai tinggi tapi guna awat wajah harga rb kacamata mama harga rb paling penting peng anak anak nang trus padahal baru pulang rumh sakit,netral
resto kelas dapur sama bisa tutup gara sistem gojek jelas,netral
mahal doang dapat drivernya melarat miskin semua gara potong gede tolong yg punya apk gojek diapus ajh para driver kecewa ken liat gojek indonesia bangkrut dapat keringat mereka banding cape,negatif
luarbiasa walo cuaca hujan tetep profesionaltepat waktu,netral
ok,netral
gak dapat driver segera beri kabar sudah tunggu jam baru kasih kabar gak ada driver cancel pihak gojek orang tua sudah tunggu lama buat makan tolong baik aplikasi nya kalo memang gak dapat driver segera info user,positif
mantap poko serba praktis,positif
sekarang gfood pelittt promo harus pake bank yg gajelaasss kalo mau promo atau pake paylater kan aneh masa mau makan suruh ngehutang justru pake gopay gada promonya cuma sedikit kayak duluuuuu kecewaaa berattttt,negatif
driver nya mumpuni,netral
keren,netral
baik,positif
mantap,positif
bisa diabdalkanaman keren,netral
potong harga jgn dikit donkkk,netral
klw udah malam baru jam aja gojek nya udah molor semua ada yg staybay dihub busyitt layan cianjur ne,netral
kenapa sering terima telpon driver gojek padahal ngga ada order ganggu banget lama sy uninstall,netral
makin kesini kenapa makin jelek pesan go car goride suka lama cari driver sering kasih jauh lokasi jemput padahal yg dekat lokasi jemput ada tolong baik pak bagus gojek yg dl deh,positif
baik,positif
min mau nanya kemarin tgl tf uang gopoy bank tapi sampai sekarang belum masuk masih proses terus sampai sekarang,netral
ancur gojek sekrang mah beda sama jaman dulu lagi buru pesan gojek masa depet nya driver nya jauh banget padahal banyak driver yg sekitar rumahkembalikan gojek yg dlu saat masih pagang pak nadiemyg serkarang mah hancuurrrr curr currr currrr,netral
baguss banget hanya saja promonya kurang banyak xixi,positif
cukup bagus,positif
guna mudah sesuai butuh,netral
ongkir gofood makin menggilamana sekarang pelit banget ngasih voucher potong ongkirnyamasa sen makan rb ongkirnya rbjadi mikir kali buat sen aplikasi inimsh enak aplikasi kuning,netral
ok,netral
mudah sederhanaga ribet,netral
cepet,netral
mantap,positif
bagus,positif
mudah guna aplikasi,netral
fitur gotix udah hapus,netral
keren,netral
kenapa ikln gojek muncul terusss hp tiap buka aplikasi lain,netral
jangan pake aplikasikocak,netral
driver santun,netral
top up gopay tapi saldo applikasi nambahgmn,positif
lebih cepat aman,positif
okmantap,positif
rasa makin hari harga nya mahal kurang pas pas buat kantong anak sekolah sangat susah dapat driver,netral
baik guna,positif
cepat aja jemput nya,positif
udah mahal lama pula padahal udah prioritas loh,netral
susah pindah lain hati alias susah pindah aplikasi rupa,netral
mantap,positif
baik,positif
good,netral
mantaabbbn,netral
driver nya sopan milih rute nya yg cepat udah gojek ada discountnya pulaluar biasa gojek,positif
makin hari makin mahaltapinya,netral
selalu bilang ada sinyal internet padahal udah dekat wifi,netral
aplikasi eror terus gak bisa pesan goride malah gambar dinosaurus muncul,netral
sering banget server sibuk,netral
jelek banget tiap mau sen buat pulang malah pesan padat update bukan makin bagus tambah makin jelek,netral
makin depan aplikasi g smakin bagus malah seribg gangguantukan it nya beda g kaya pas awal gojek hadir,netral
mudah transportasi cepat,positif
sekarang gak jelasmasa tiba blokirpaylater gak ad apenyeselasiannyapindah warung sebeleah aja dahpengajuan lewat email suportmab bales kayak robotgak ada penyelesaiannyadan gak kasih tau sebab kenapa bisa blokir,negatif
ok,netral
tgl des sampai sekarang top up saldo gopay rb belum masuk sdh ulang kali kirim pesan bukti transaksi via gmail sampai skr tgl jan saldo belum masuk juga,positif
baik sistem mulu anjir mau nyelesaiin order bisa yg ada suruh tlpon biaya lagi ngerugiin driver,positif
aplikasi suka eror terkadang,positif
tibatiba server sedang sibuk sangat kecewa,negatif
bagusaman percaya,positif
hari pesan gojek gabisa kata server padat rayap kemarin kemarin kalau sen gojek dapat driver nya selalu jauh,netral
server sering down,netral
ok,netral
kenapa bisa pesan gojek aneh selalu kaya begini,netral
tolong dong jangan lot terus aplikasi masalah server jam orang masih butuh sen gojek malah bisa sen gagal terus,netral
sangat bantu,positif
sekarang gojek selalu bikin kesal kemaren magrib ingin sen gojek tapi selalu ada notif server sedang sibuk tolong benerin bikin bagai tumpang kesal tepat waktu,netral
gojek ti sering hang harga mahal kaya maxim,netral
apk babi gue lagi buru buru sen gocar koh server sibuk truss apk busuk,netral
mantap,positif
bagus tiap mesan makan nya enak,positif
top,positif
saga t baik puas,positif
jelek banget servernya tiap peak hour pernah dapettulisannya server padat mulu,negatif
kembali nadiem makarim karya buruk pegang pihak lain,negatif
sangat bantu,positif
praktis bantu butuh transportasi,positif
bantu hemat waktu simple,positif
tapi kalo atas jam rasa susah cari driver,netral
gojek sekarang asal pakai voucher pasti kan nyangkut or luama buanget harus ulang kali tapi kalau pakai voucher langsung nyangkut lalu buat apa ngeluarin voucher kalau cuma tipu,netral
efisien,netral
server padat lokasi jemput sering taruh jauh lokasi pilih,netral
kacau dua kali salah titik kata sedang sama aplikasi belah langsung ketemu lokasi driver apk akurat liat udah sampe padahal masih jauh banget,netral
error mulu servernya tiap nyari driver tolong dibenerin dong,negatif
server down mulu gilir tf gopay cepet padahal lagi butuh banget gocar malah lot pdhl udah update versi baru kenapa sih baik apk nya,positif
banyak modus tipu top up tokopedia gopay mohon cari tahu bagai karyawan retail kasi sekali lihat banyak kosnumen kena tipu juta,positif
jangan pernah pesan makana pake gojek sangat saran karena jika kalian pesan makan andai kata minta refund alias salah resto pihak gojek akan beri ganti atau proses tim kait sangat lama tak adil alam seperti lebih baik pake si orend atau saing si gojek lebih cepat refund lebih aman murah,positif
ingin uninstal tapi masih punya cicil,netral
ada limit gopaylater rb tapi bisa d pakaitolong bos d aktifin lg,netral
aneh sekarang klo older goret susah padahal per banyak gilir dapet jauh payah bisa buru buru dapet per telat mulu kerja,netral
akun sy yg lama bs hilang pdhl saat buka aplsdh sesuai email notelp yg lama jg tapi apl yg keluar bru semua zero jd gopay sy yg lama ilang sy tdk ada lg layan payletter knp bs jadi sdh lapor tapi tdk ada baik jg,positif
baik,positif
gojek ngasih promo goride gocar tu boong milih yg promo tapi sekali pun pernah nyantol x ada kali batal begitu klik yg mahal langsung nyantol kalo ganiat promo gausah promo kecewa,negatif
ok mantap,positif
maaantab bos,netral
makin keren,netral
murah banget banding aplikasi sblh,netral
sgt sgt bantu,positif
aplikasi gojek sering crash admin nya selalu jawab pasti jaring stabil bagus padahal aplikasi aja yg crash bukan sinyal atau jaring kami yg bagus,positif
sangat muas,netral
sangat baik ramah mud,positif
kami perlu gojk,netral
please gojek baru terburuburu mau rs malah driver jalan sama sekali driver mnta batal habis cari driver lain juga lama ulang lagi driver sudah menit lebih jalan ulang begitu terus sampai kali kenapa telah diupdate begini padahal dulu begini cepet dapet driver tolong baik,positif
kenapa orang lain pd kasih rating jelek fine fine aja sm gojek malah drivernya sangat bantu aplikasi ada trouble mungkin kalo ada layan driver yg kurang sifat individu yaa baik nilai bijak maaf hanya dapat terimakasih gojeksemoga makin sukses makin canggih layan,positif
its ok,netral
sering pake go send lalu driver enak udel cancelpadahal bawa motor vario meski jenis nmax harus driver terima antar klau berat dgn muat barang utk motor yg sampe kg,positif
pesan go food gabisa cancel plus ongkirnya ngotak apacoba baik bug masa voucher diskon ilang,positif
lelet nyari drivernya telat melulu,negatif
selalu langgan pakai gojeg,netral
mantap,positif
gilir pake goride biasa dapetnya motor keren mulu paling sering aerox sama nmax tapi pas pake goride comfort malah dapet motor yg b aja tapi keren si gojek transportasi utama buat rumah ayang,netral
mantapz,positif
nyaman,netral
sementara good,netral
gojek good,netral
aplikasi apa knpa pin nonaktif,netral
sangat kecewa ada keluh kait sistem gojek yg error saat transaksi gofood pilih resto gofoodplus langgan langsung potong ongkir jadi gratis tagih sudah betul byr dg paylater telah makan dtg tiba tagih ubah kena ongkir cs tanggap hanya mesinbahasa mesin ada problem solved nya langsung tutup tanpa komunikasi seperti ngomong setan pocong ajah diemin doang terus lapor tutup cs apa tuh,negatif
aplikasi keluar sendiri mulu aneh padahal baru juga download pas klik lagi keluar mulu g masuk menu,netral
mangtaaaappppp,netral
sudah normal aplikasititik awal driver lihat gak transparan gojek cuman tampil animasi saat mesan tapi kenapa tiap order go food sering sekali dapat driver minta ongkos tambah alas mereka cuman dapat ongkir rp padahal pesan aplikasi kena ongkir lebih rp tolong baik oknum driver kayak gin jek,positif
dulu sering pake gojek sangat manfaat banyak diskon sekarang udah jarang dapat diskon klo penting amat ken instal deh driver driver yg pake motor jauh lebih sopan drpd yg pake mobil gimana gak dikit minta tip jalan jauh dikit karna jalan d tutup minta tip pdahal kan jalan d tutup bukan salah lebih maklum driver yg pake motor lebih ikhlas beri tip kepada mereka karna apa karna kalo ngasih tip harus d target kan se ikhlas,netral
mantap,positif
luar biasa,netral
baik,positif
wooosshhh,netral
keren,netral
habis update sering forced close tolong baik,positif
good,netral
mobil bersih driver ramah jalan nyaman,netral
aplikasi sangat sering crash bkin susah lama kalau pesan,netral
lama kali dapat driverny cpk org dibuatny,netral
okk,netral
tks gojek puas dgn layan,positif
bagus,positif
beri mudah nyaman,netral
kenapa sudah laku daftar pinjam gopay ko tolak apa ada salah mohon jelas y,netral
gojek terlalu bnyak aplikasi include internal kadang lot chat driver aplikasi bisa baca langgan mnit telah driver kirim pesa,netral
ok,netral
aplikasi yg makin lot sering macet parah,negatif
go jek the best,netral
layan yg muas,netral
mantap si gojek,positif
kenapa maps gojek otomatis gitu mau pilih titik jemput tapi nga bisa terus dia langsung otomatis mulu cuman aja sih overall bagus,positif
good,netral
oke,netral
padahal sering transaksi tapi dapet playter nya sama gopay pinjam,netral
baik,positif
alhamdulillah dapat orang yg ngantar ramah,netral
banyakin lagi promo nya dong,netral
aplikasi sdh pakai lama tetapi akhir sdh minggu ndak bisa buka sambung internet ok,netral
bagus,positif
sangat bantu,positif
oke,netral
aplikasi sering ngelag,netral
mantap,positif
ok guna banget,netral
terimkasih sudah dikiirim dg baik,positif
bagus,positif
cepat aman,positif
apklikasi tololupgrade gopay plus gagal mulujadi gabisa transaksi apa apa buat aplikasi guna kalo ada fitur transfer bank atau ewallet apa biar guna,netral
mntap,netral
recomended,netral
ada gotix asix,netral
erorr,netral
ude mulai jelas gojek sekali nghanggg jlss bgtt bisa masukkkk terus makin update makin ribett aplikasihnye,netral
aplikasi sangat bantu order makan banyak diskon tetapi terkadang aplikasi bisa respon saat buka,positif
ok,netral
bagus,positif
menu komplain konsumen beli pulsa im tak dapat temu solusi bagi konsumen lempar lempar moga dapat baik,positif
ok,netral
coba diajarin tu driver pake aplikasi pesan makan gofood sampe se jam tau dia salah tempat sen mcd drivernya malah datang kfc nunggu jam hanya driver salah tempat sampe mcd nya chat hubung driver biar cepet ada urus buat chat sana sini begini pihak gofood buat urusin ginian hanya mikir yg penting makan datang,netral
sangat bagus,positif
kerja bagus,positif
kode otp salah mulu kocak,netral
terimakasih telah tani jalan baik aman,positif
layan oke,netral
sangat ramah tamah,netral
mohon bantu nya ubah kata sandi kuat akun kamisudah email tapi ada jawabanmohon tindak lanjut,positif
sangat nyaman,netral
update makin tolol sering tulis koneksi internet stabil padahal mbps,netral
bagus,positif
masih ok,netral
oke,netral
pilih rute baik tapi sayang kemudi kurang respek dalam bantu tumpang sedang bawa bayi sama sekali buka pintu bawa tas tumpang,positif
gocar bandung hawa panas dah bayar mahal ac gak ada nyala alam libur bandung hari pake jasa gocar ada x pake jasa gocar dalam mobil mati semua ac dah kayak pake angkotmending pake angkot aja murah juga iyhkapok kan pake gocar biar nyamanini panas nya lebih angkot,netral
mantaaab,netral
saran aja sii kalau go food waktu tunggu pesan minimal jangan lama lama ah masa suruh nungguin menit padahal jarak rumah deket fyi ngegofoodnya deket karna waktu lagi sakit pliss lahh,netral
cepat akurat ok pokok,positif
sering sering ngasih promo,netral
pelit voucher,netral
baik,positif
iklan terus,netral
mantap,positif
aplikasi jelas,netral
hallo gojek kenapa saldo kartu kereta masih kosong padahal sudah top up gopay saldo gopay juga sudah kurang tapi saldo kartu tapcash masih masuk,positif
kelas gojek alami error lama sekali top up bisa buat transaksi bayar error terus kocak,netral
mantap,positif
oke sangat bantu,positif
go food bantu banget kalo laper tengah malam jelang subuh diskon tarik tambahin terus yak,positif
ok,netral
kenapa bisa masuk aplikasi malah keluar lagi awal belum masuk aplikasi sedang aplikasi lain bisa masuk mudah beri bintang,netral
sangat bantu dalam hidup,positif
gratis,netral
kenapa gojek suka hilang sinyal crash padahal laje wifi mobile juga sama,positif
mantap,positif
eazu,netral
keren,netral
oke,netral
sering ngefreeze,netral
force close terus,netral
pesan gofoodsll ganti driverdari yg nama nya zainalganti indraganti jayasy pakai mode hematsy pesan nasi goreng nasi dingin yg sampai,netral
bagus,positif
aplikasi sering crash gak jalan padahal buka aplikasi lain aman aman aja udah gitu maps sama alamatny gak sinkron driver hafal jalur nanyain mulu bener mana titik dalam kota tapi alamat luar kota,netral
makin aneh sekarang go food order makan terima order makan jadi nunggu lama,positif
mantap,positif
bintang lebih baik,positif
sy kasih bintang harus juga gojek ride punya gojek hemat tara harga maxim seperti kompetitor hijau belah biar order kalian makin lancar goride gocarnya,positif
kenapa bisa diperbaruiapa aplikasi gojek mau ganti,netral
ubah bintang semenjak gopaylater blokir padahal gak pernah telat bayar gak ada tunggak sama sekali,negatif
bagi rezeki indah,netral
aplikasi gajelas pikir driver,netral
gocar top,positif
alhamdulillah lama pake aplikasi pernh ada kendala moga tuk depan tetep konsisten,netral
bagus belum pernah kecewa,netral
sangat bantu dlm segala hal utama saat jam sibukterima kasih gojek,positif
aplikasi suka ngecrash bisa sen ojek klo tlpn suka ada suara titik sesuai,positif
ok,netral
langgan ok aja,netral
manfaat cepat,positif
susah banget cari driver jam sibuk padahal sekitar titik banyak driver,netral
suparno belum bisa buka aplikasi,netral
aplikasi ok tawar diskon ok,netral
telah up dateko mlh lot bln da perubahanga lemotga bs transaksi samsexsaldo ngendap pdhl mau byr listik air,netral
mantap betul,positif
apk nya eror bisa buat mesan makan harga muncul,netral
guna gojek setia serta keluarga kenapa anak sen gofod mnta duit lebih mang ajar gojek,netral
aktifin gofood plus diskon yg biasa minggu dapet ilang gilir aktifin paylater diskon paylater juga ilang pinter bet ni aplikasi,netral
aplikasi ojek online baik deh pokok nya,positif
cukup bantu,positif
kecewa dgn aplikasi masalah top up gopay sdh potong saldo mbanking hasil trf top up tapi saldo tdk masuk gopay sy tdk byk memang hny rb tapi rb byk utk sy,netral
loba d oprek,netral
sangat kompeten selesai masalah terlalu rumit,netral
lambat aplikasi nya padahal jaring internet bagus,netral
oke,netral
ok,netral
bantu banget khusus pesan makan,positif
dah lama pakai cuman akhir akhir terlalu sering crash bukan masalah sinyal,netral
sy kecewa dgn gofood saat ingin batal sen wkt yg beri sangat sedikit sehingga sy order makan mahal,negatif
makin kesini makin lot internet udah full g apk ttp aja gabisa buka orang yg tdnya buru pindah apk sblh aja,netral
suruh update mulu,netral
mantapz,positif
nyari driver nya lama,netral
driver kalian teriak ongkir rp sesuai apa yg kami bayar buat ongkir food program kalian buat langgan nyaman,netral
aplikasi sering nge freeze telah update,netral
banyakin promo dongs,netral
aku suka aku suka,positif
lumayan,netral
ok,netral
bagus bnget,positif
aplikasi yg sangat bagustop markotop,positif
sen makan gojek jam gak datang datang udah gitu gak bisa batal kecewa sama apk sekarang,negatif
kurang puas layan bantu nya gopaylater yg tibatiba blokir padahal bayar selalu tepat waktu halaman bantu serta lapor bisa jawab tanya konsumen,positif
jujur aplikasi bagus,positif
aplikasi bikin gua mkn bakso tiap hari,netral
burukdrivernya sombong dichat malah ngatain orang tolong dong diperhatiin,negatif
mantap,positif
gila ongkos driver cuma potong gak kira kira tambah lagi yg bikin anyep driver tiap costumer mes paksa bayar uang tambah baik aplikayyg gak ada hubung costumermakin kesini mes makin sepi makin pindah gojek bangsaat hapus aja akun driver yg goceng,positif
mudah dalam segala hal,netral
langgan kirim uang go pay sayaada buktidan cekuang ada masuk uang mana pak bu,netral
gojekkalo resto rumah mau ny beri tanda atau tolak masalah ny sering masalah kalo pesan dapat resto rumah masak ny suka ngasaltidak sesuai fhoto,positif
sekarang agak susah order gojek tiba bisa lama banget baru dapat gojeknyaa gak kayak duluu,netral
ok,netral
nambah banyak bug aplikasi semenjak update,netral
order jam makan sampe jam padahal pake ongkir standar bukan yg murah lebih cepat aplikasi belah,positif
gosend kek apa si sen jam datang jam tengah mlm mikir,netral
ngebantu banget inti,positif
layan bantu nyaa jelek layanannyaa isi bot semua minta konsumen ada satu yg penuh,netral
jelek banget aplikasi bagus belah mau transaksi aja susah amat mana perkara nyalahin sinyal segala lagi,netral
gojek napa yaa lagi mesen makan tau ngelag lg pilih resto tau ngelag kluar blank jdi dri awal lagi,netral
cepetprofesinal cuman promonya dikit,netral
knapa aplikasi gojek bsa buka,netral
gojeg kopet mutu,netral
kecewa sudah lama pakai gopay tapi sekarang gopaylatter sudah bisa guna padahal mas full pernah telat bayar,negatif
bagusdisiplinkan selalu senyum bahagia gembira proaktif produktif senang piknik jalan terus kembang diri,positif
makin berat aja aplikasi buat buka aja sering force close,netral
baik sangat bantu,positif
semangat terus pak,netral
gak jelas aplikasi nya kalo buka loading mulu,netral
dapet drivernyaa lamaaaa,netral
mangkin parah nih apliaksi tiap kali mau klik selalu gak bisa parah parah,negatif
sen gocar drivernya minta batal tanpa aplikasi mau tarif manual aja batal pihak sma drivernya pas customer udah masuk mobil alhasil driver gatau jalan hingga tarif jauh lebih yg sesuai aplikasi karna salah driver customer yg rugi udah gitu gabisa lapor kantor karna gaada riwayat jalan aplikasi emang gitu klo batal sma driver riwayat jalan nya hilang,netral
bagus banget padahal pake mode hemat trus dateng makan sekitar menit tapi datang makan cuma menit cepat banget job dehhh buat gojek moga sukses terus depan,positif
gopaylater masalah semenjak pegang mab tau kredit skor akun tdk masalah apa sedia jika ada fungsi tolong adakan konfirmasi milik akun jika memang curiga disalahgunakan terimakasih maaf gojek kamu sudah kecewa yg langgan setia,netral
titik kordinat suka benar driver nya susah,positif
tapi jarang ada promo,netral
bagusberguna sekali,positif
enak banget make gojek gw make gojek cuma buat gunain gopay nya eh tiba tiba saldo gw sedot buat bayar langgan udah gw batalin,netral
good,netral
sangat bantu,positif
kalau food kurang turut tapi kalu antar mengantarr so far so good,netral
mantap,positif
gopaylater mending hapus aja sudah ada guna bisa buat bayar masuk order gojek,netral
sen makan fast food order sampai datang makan menit padahal jarak resto rumah cuma kmdatang dah dingin kayak mayit hilang selera makan,netral
bayar kua tulis bisa tapi gagal trs,netral
bagus,positif
bagus,positif
makin busuk apalagi gopaylater nya tiba ngk bisa donk ngk ad notiv ngk ada sebab limit utuh kocak gilir pgn hapus permanen kagak bisa alesan ad tagih aplikasi bengek go pou,netral
moga moga gopaylater acc lagiamingggg,netral
aplikasi sering bisa pencet bikin emosi jaring udah lancar masih aja lot gmn nih,positif
baik,positif
gopaylater blokir bagaimana cara kembali nya minta nomor cs nya,negatif
puas,positif
sering force close android g ram android,netral
hengggg teroooosssssss parah edit sudah ver baru jaring bagus telkomsel jkt soal msih aja heng makasih tinggal bayar pesan malah ngulang lagi apa buang waktu aja nama sulit mah moga baik y,positif
ganti pin gopay via apk gopay tdk ada masalah tapi ketika coba ganti via apk gojek selalu muncul notif tdk ada jaring internetsilahkan coba beberapa saat lagi padahal jaring internet bagus aja apa masalah,positif
very gooooood very gooooood,netral
cara hubung cs gojek gmna yah sqya mau cancel gosend yg pertama salah alamat namun tdk bisa dicancel pusat bantu tdk ada opsi,positif
keren,netral
siip tingkat kan layan,netral
good,netral
muas,netral
tgl des pesan gocar tdk pake tapi ongkos tetap potong,netral
tambah hari tambah sip ae layan nyacari driver sulit lebih antri bbmkadang begitu dapat driver enak aja main cancel gak ngomong padahal tadi bilang maudah gt ongkos mahalluar biasa wesmending gojek yg dulu pertama download sangat bantu memudahkangak perlu banyak pilih menucukup gofoodgoridedan gocar tapi layan maksimal,positif
mantap,positif
benar aplikasi nya sgt bantu mudah dgn fitur fiturnya cuma akhir akhir aplikasi sering nge bug lagi ngorder pesan jdi macet,positif
mantab,netral
baik,positif
good,netral
crash,netral
sering ada promoatau potong,netral
kenapa ko susah dibukatadiy lancarlancar aja,positif
banyak trus promo tiap layan,netral
sangat bantu bnyak promo,positif
pesan gofood reguler bukan hemat tapi dapat driver nya lama banget jam baru dapat driver pas makan datang sudah dalam ada dingin mie nya sudah lembek besar seperti cacing lebih baik sekarang kalo pesan makan grab atau shopee saja yg cepet dapat drivernya gojek makin lama makin rugi beli,positif
enduuul,netral
alam yg sangat sebal sama gojek sabtu lalu pesan gocar udah terima order dlsaya tapi drivernya suruh batalin tdk mau drivernya cari alas yg masuk akal suruh tunggu kata dia mau sarap telah menit tunggu tiba dia batalin dgn enak jidasnya dgn alas macet akan kasih bintang kalau si drivernya tegur gin doang nih layan gocar buat lapor tentang layan gocar tapi ada responnya,positif
lagi sen gosend aplikasi nge bugs wal akhir bisa dicancel bisa chat nungguin driver jam lama tinggal kalian sm grabshopee,netral
sangat bantu sekali,positif
tambah hari tambah bisa buka,netral
aplikasi nya sering tiba henti,netral
mantap,positif
kalo jauh emgnya kenapa cepet dingin kan beli tu minum dingin,netral
kaya bukan cuma yg ngerasa deh skrg sering banget crash deh gojek suka tb minta keluar pdahal sudah paling update sy baca jawabn klian selalu blg pasti snyal bagus sory sinyal wifi bagus jd emg dasar aplikasi kalian aja hrusnya klo mnta sering update dibagusin dong aplikasi gimana sih,positif
pas pilih alamat lama bener buang waktu menit bukan internet mah,netral
gopaylater bisa dipake pdhl saldo msh bnyak da pernah telat buat bayarpercuma dongg kasih limit tapi bisa pakai tolongggg donggg baik bnyak yg komplen gopaylater bisa pakai klw baik lama langgan nya pda uninstal apk sudah mau bulan paylaternya bisa dipake,positif
sangat senang terimakasih gojekdi bumi asa surga kecil nyaman senang terimakasih,positif
siiip,netral
sangat terbantuselalu pake gojek mana pun mudahmudahan destinasi wisata ada juga abang gojek,positif
oke,netral
ok aplikasi,netral
terima kasih,positif
ws apik,netral
tempat nya ada driver gofood sama sekali,netral
pindah dana aja lebih mudah udah bulan pakai gojek masalah terus udah report masih juga fix,netral
baik,positif
makin hari makin jelek tagih paylater gopay pinjm apabila ada sangat gak logis telat hari langsung denda rb pesan gofood pun sekarang lama bukan main live location drivernya sering akurat big no,negatif
aseek poko pake gojek,netral
satu akun nyata bisa buka dua device hp bekas dgn apk yg sudah hapus telah instal kembali verifikasi no yg beda buka lagi akun takut simpan saldo sini,netral
sekarang promonya harus bayar pake baru dapat promo sebal,netral
mantaaaab,netral
the base,netral
cukup bagus layan,positif
mantap,positif
transaksi pake payleter gagal terus payah,netral
aplikasi sampah ram gb suka respon aplikasi diinstal sedikit padahal cache udah dikosongininternetpun sangat lancar coba nonton youtube kualitas lancar tapi apknya masih tetap begitu kata pegawai alam tahun masih muda ipk tapi order kang jek sering eror sulit komunikasi kang ojek saat tentu lokasi jemput update dong bisa tapi guna ngaruh sama sekali,positif
semua mudah,netral
sekarang masuk aja ribet banget jdi males make gojek,netral
good,netral
buat customer rasa bayar gede tapi komplain driver jangan ngerasa paling pintar sampe nyuruh aplikator didik lagi drivernya yg salah aplikator driver gojek sekarang emang beneran ada yg trip bener ada jangan pihak nyalahin driver tapi samasama kroscek liat aplikasi masingmasing antara customer atau driver jelas ulah aplikator ken lihat murah tapi siksa mitra nya smart dikit customer jangan mau promo doang tapi bego,netral
hampir semua drivernya minta dicancell alas jauhpadahal aplikasi waktu tempuh sampai menitterlebih kalau ongkos murahdan driver juga sering minta tambah ongkoskalau mau driver minta cancell alas posisi driver jauh lokasi jemput,netral
sangat bantu,positif
ok,netral
p ramlee we love,netral
mudah dalam urus perut,netral
baik,positif
sangat bantu bagi kami yg tdk punya motor,positif
bantu,positif
tiap sen go ride lama sekali dapet cancel trs sma driver nya yg makin kesel nya sdh jam tdk ada yg mau ambil,netral
ok,netral
mantap,positif
dapat tampil saldo gopay mes layan telah baru,netral
bagus,positif
mudah,netral
tingkat jangan sering error sering bung tolong aplikator kalo udah bagus jangan diotakatik nyusain orang aja banyak yg pindah aplikasi belah baru tau rasa,netral
ok,netral
dulu selalu guna aplikasi gojek layan nya luar biasa sangat baik tapi akhir kenapa sangat buruk tadi nya bisa transfer bank lalu dana gopay sekarang harus update ulang data ktp lebih heran nya lagi sdh masuk semua data tetap bisa guna jasa antar sangat lambat serta biaya tarif tangan nya luar biasa sangat nya mahal contoh seperti go food mcd ongkir rb biaya tangan rb an lebih,negatif
amazing,netral
mantap,positif
sangat bagus,positif
maaf sy kasih bintang tiap sy mau check out selalu tolak padahal limit sy banyak bayar bagus gak pernah telat mau hapus saja download lg,positif
ada tranpotasi gojekuntuk sangat guna sekali,netral
makin sini mkin sering eror,netral
patent,netral
